[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	
[0, 255, 0]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	
[0, 255, 0]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[216, 88, 232]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	
[0, 255, 0]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[154, 65, 165]	[181, 75, 194]	[216, 88, 232]	[182, 76, 196]	[16, 16, 16]	[16, 16, 16]	
[0, 255, 0]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[181, 75, 194]	[216, 88, 232]	[216, 88, 232]	[216, 88, 232]	[16, 16, 16]	[16, 16, 16]	
[0, 255, 0]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	
[0, 255, 0]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	
[0, 255, 0]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	
[0, 255, 0]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	
[0, 255, 0]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[15, 15, 15]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	
[0, 255, 0]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[15, 15, 15]	[12, 12, 12]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	
[0, 255, 0]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	
[0, 255, 0]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	[16, 16, 16]	
[0, 255, 0]	[160, 160, 160]	[16, 16, 16]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	
[0, 255, 0]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	
[0, 255, 0]	[160, 160, 160]	[160, 160, 160]	[233, 233, 233]	[172, 172, 172]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	
[0, 255, 0]	[160, 160, 160]	[160, 160, 160]	[132, 132, 132]	[175, 175, 175]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	
[0, 255, 0]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	
[0, 255, 0]	[160, 160, 160]	[160, 160, 160]	[16, 16, 16]	[175, 175, 175]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	
[0, 255, 0]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	[160, 160, 160]	[16, 16, 16]	[160, 160, 160]	
